,table1,col1,table2,col2,sim_score
0,Zhang2015-06,Warrant/Reasoning/Backing,Zhang2016-11,Warrant/Reasoning/Backing,0.74002457
1,Zhang2015-06,General Content,Zhang2016-11,General Content,0.7342857
2,Zhang2015-06,Organization,Zhang2016-11,Organization,0.73278475
3,Zhang2015-06,Claim/Ideas,Zhang2016-11,Claim/Ideas,0.7319751
4,Zhang2015-06,Evidence,Zhang2016-11,Evidence,0.72926825
5,Yang2016-08,Reference-Modification,Daxenberger2012-09,Reference-Modification,0.71084285
6,Yang2016-08,Information-Modification,Daxenberger2012-09,Information-Modification,0.7096509
7,Yang2016-08,Template-Modification,Daxenberger2012-09,Template-Modification,0.7096509
8,Yang2016-08,Markup-Modification,Daxenberger2012-09,Markup-Modification,0.70711946
9,Yang2016-08,Information-Insertion,Daxenberger2012-09,Information-Insertion,0.70711946
10,Yang2016-08,Reference-Insertion,Daxenberger2012-09,Reference-Insertion,0.70711946
11,Yang2016-08,Information-Deletion,Daxenberger2012-09,Information-Deletion,0.70577383
12,Yang2016-08,Reference-Deletion,Daxenberger2012-09,Reference-Deletion,0.70577383
13,Yang2016-08,Template-Insertion,Daxenberger2012-09,Template-Insertion,0.70577383
14,Yang2016-08,File-Modification,Daxenberger2012-09,File-Modification,0.7043704
15,Yang2016-08,Template-Deletion,Daxenberger2012-09,Template-Deletion,0.7043704
16,Yang2016-08,Markup-Inserion,Daxenberger2012-09,Markup-Inserion,0.7013741
17,Yang2016-08,Markup-Deletion,Daxenberger2012-09,Markup-Deletion,0.7013741
18,Yang2016-08,File-Insertion,Daxenberger2012-09,File-Insertion,0.69977266
19,Yang2016-08,File-Deletion,Daxenberger2012-09,File-Deletion,0.69809586
20,Yang2016-08,Relocation,Daxenberger2012-09,Relocation,0.692556
21,Anthonio2020-03,Spelling/Grammar,Daxenberger2012-09,Spelling/Grammar,0.63141745
22,Anthonio2020-03,Paraphrase,Daxenberger2012-09,Paraphrase,0.6201556
23,Yang2017-01,Elaboration,Guo2022-16,Elaboration,0.606428
24,Yang2017-01,Disambiguation,Jones2008-13,Disambiguation,0.60550046
25,Yang2017-01,Vandalism,Jones2008-13,Vandalism,0.59611076
26,Yang2016-08,Grammar,Pfeil2006-12,Grammar,0.59123224
27,Du2022-07,Clarity,Zhang2016-11,Clarity,0.585178
28,Falting2021-04,Vandalism,Daxenberger2012-09,Vandalism,0.5790181
29,Anthonio2020-03,Information Deletion,Daxenberger2013-17,Information-Deletion,0.5624435
30,Rajagopal2022-02,Add New Information,Pfeil2006-12,Add Information,0.5199898
31,Anthonio2020-03,Information Modification/Insertion,Daxenberger2013-17,Information-Modification,0.515343
32,Yang2016-08,Wikilink-Modification,Liu2014-14,Link modification,0.5023754
33,Zhang2015-06,Conventions/Grammar/Spelling,Zhang2016-11,Conventions,0.49723744
34,Yang2016-08,Rephrase,Daxenberger2013-17,Paraphrase,0.48792014
35,Yang2016-08,Wikilink-Insertion,Liu2014-14,Link insertion,0.47446752
36,Yang2016-08,Wikilink-Deletion,Liu2014-14,Link deletion,0.4632348
37,Spangher2022-05,Deletion,Daxenberger2013-17,File-Deletion,0.42407846
38,Yang2017-01,Clarification,Pfeil2006-12,Clarify Information,0.40945297
39,Yang2017-01,Verification,Daxenberger2013-17,File-Modification,0.39195585
40,Yang2017-01,Simplification,Daxenberger2013-17,Template-Modification,0.3767746
41,Yang2017-01,Fact Update,Guo2022-16,Dynamic Update,0.36802465
42,Falting2021-04,Clarification,Guo2022-16,Citation,0.35676518
43,Falting2021-04,Simplification,Liu2014-14,Sentence modification,0.35392967
44,Spangher2022-05,Addition,Jones2008-13,Significant Addition,0.35292166
45,Falting2021-04,Verifiability,Jones2008-13,Style or readability,0.3090757
46,Falting2021-04,Disambiguation,Failgey1981-10,Punctuation,0.3049057
47,Du2022-07,Coherence,Guo2022-16,Forward Reference,0.29903483
48,Zhang2015-06,Rebuttal/Reservation,Daxenberger2013-17,Relocation,0.29858655
49,Yang2016-08,External Link-Deletion,Pfeil2006-12,Delete Link,0.28527993
50,Du2022-07,Fluency,Rathjens1985-15,Consistency,0.28030646
51,Du2022-07,Style,Pfeil2006-12,Style/Typography,0.27571732
52,Du2022-07,Meaning-Changed,Failgey1981-10,Meaning-Preserving-Consilidation,0.2682864
