,table1,col1,table2,col2,sim_score
0,Daxenberger2012-09,Reference-Modification,Daxenberger2013-17,Reference-Modification,0.77818185
1,Daxenberger2013-17,Reference-Modification,Daxenberger2012-09,Reference-Modification,0.77818185
2,Daxenberger2012-09,Information-Modification,Daxenberger2013-17,Information-Modification,0.7777778
3,Daxenberger2012-09,Template-Modification,Daxenberger2013-17,Template-Modification,0.7777778
4,Daxenberger2013-17,Information-Modification,Daxenberger2012-09,Information-Modification,0.7777778
5,Daxenberger2013-17,Template-Modification,Daxenberger2012-09,Template-Modification,0.7777778
6,Daxenberger2012-09,Markup-Modification,Daxenberger2013-17,Markup-Modification,0.77692306
7,Daxenberger2012-09,Information-Insertion,Daxenberger2013-17,Information-Insertion,0.77692306
8,Daxenberger2012-09,Reference-Insertion,Daxenberger2013-17,Reference-Insertion,0.77692306
9,Daxenberger2013-17,Markup-Modification,Daxenberger2012-09,Markup-Modification,0.77692306
10,Daxenberger2013-17,Information-Insertion,Daxenberger2012-09,Information-Insertion,0.77692306
11,Daxenberger2013-17,Reference-Insertion,Daxenberger2012-09,Reference-Insertion,0.77692306
12,Daxenberger2012-09,Information-Deletion,Daxenberger2013-17,Information-Deletion,0.77647054
13,Daxenberger2012-09,Reference-Deletion,Daxenberger2013-17,Reference-Deletion,0.77647054
14,Daxenberger2012-09,Template-Insertion,Daxenberger2013-17,Template-Insertion,0.77647054
15,Daxenberger2013-17,Information-Deletion,Daxenberger2012-09,Information-Deletion,0.77647054
16,Daxenberger2013-17,Reference-Deletion,Daxenberger2012-09,Reference-Deletion,0.77647054
17,Daxenberger2013-17,Template-Insertion,Daxenberger2012-09,Template-Insertion,0.77647054
18,Daxenberger2012-09,File-Modification,Daxenberger2013-17,File-Modification,0.776
19,Daxenberger2012-09,Template-Deletion,Daxenberger2013-17,Template-Deletion,0.776
20,Daxenberger2013-17,File-Modification,Daxenberger2012-09,File-Modification,0.776
21,Daxenberger2013-17,Template-Deletion,Daxenberger2012-09,Template-Deletion,0.776
22,Daxenberger2012-09,Spelling/Grammar,Daxenberger2013-17,Spelling/Grammar,0.7755102
23,Daxenberger2013-17,Spelling/Grammar,Daxenberger2012-09,Spelling/Grammar,0.7755102
24,Daxenberger2012-09,Markup-Inserion,Daxenberger2013-17,Markup-Inserion,0.775
25,Daxenberger2012-09,Markup-Deletion,Daxenberger2013-17,Markup-Deletion,0.775
26,Daxenberger2013-17,Markup-Inserion,Daxenberger2012-09,Markup-Inserion,0.775
27,Daxenberger2013-17,Markup-Deletion,Daxenberger2012-09,Markup-Deletion,0.775
28,Daxenberger2012-09,File-Insertion,Daxenberger2013-17,File-Insertion,0.77446806
29,Daxenberger2013-17,File-Insertion,Daxenberger2012-09,File-Insertion,0.77446806
30,Daxenberger2012-09,File-Deletion,Daxenberger2013-17,File-Deletion,0.773913
31,Daxenberger2013-17,File-Deletion,Daxenberger2012-09,File-Deletion,0.773913
32,Daxenberger2012-09,Paraphrase,Daxenberger2013-17,Paraphrase,0.772093
33,Daxenberger2012-09,Relocation,Daxenberger2013-17,Relocation,0.772093
34,Daxenberger2013-17,Paraphrase,Daxenberger2012-09,Paraphrase,0.772093
35,Daxenberger2013-17,Relocation,Daxenberger2012-09,Relocation,0.772093
36,Daxenberger2012-09,Vandalism,Daxenberger2013-17,Vandalism,0.7714286
37,Daxenberger2013-17,Vandalism,Daxenberger2012-09,Vandalism,0.7714286
38,Daxenberger2012-09,Revert,Daxenberger2013-17,Revert,0.76842105
39,Daxenberger2013-17,Revert,Daxenberger2012-09,Revert,0.76842105
40,Zhang2015-06,Warrant/Reasoning/Backing,Zhang2016-11,Warrant/Reasoning/Backing,0.74002457
41,Zhang2016-11,Warrant/Reasoning/Backing,Zhang2015-06,Warrant/Reasoning/Backing,0.74002457
42,Zhang2015-06,General Content,Zhang2016-11,General Content,0.7342857
43,Zhang2016-11,General Content,Zhang2015-06,General Content,0.7342857
44,Zhang2015-06,Organization,Zhang2016-11,Organization,0.73278475
45,Zhang2016-11,Organization,Zhang2015-06,Organization,0.73278475
46,Zhang2015-06,Claim/Ideas,Zhang2016-11,Claim/Ideas,0.7319751
47,Zhang2016-11,Claim/Ideas,Zhang2015-06,Claim/Ideas,0.7319751
48,Zhang2015-06,Evidence,Zhang2016-11,Evidence,0.72926825
49,Zhang2016-11,Evidence,Zhang2015-06,Evidence,0.72926825
50,Yang2017-01,Disambiguation,Falting2021-04,Disambiguation,0.72081405
51,Yang2017-01,Simplification,Falting2021-04,Simplification,0.72081405
52,Falting2021-04,Simplification,Yang2017-01,Simplification,0.72081405
53,Falting2021-04,Disambiguation,Yang2017-01,Disambiguation,0.72081405
54,Yang2017-01,Clarification,Falting2021-04,Clarification,0.7193266
55,Yang2017-01,Point of View,Falting2021-04,Point of View,0.7193266
56,Falting2021-04,Point of View,Yang2017-01,Point of View,0.7193266
57,Falting2021-04,Clarification,Yang2017-01,Clarification,0.7193266
58,Yang2017-01,Refactoring,Falting2021-04,Refactoring,0.71789706
59,Falting2021-04,Refactoring,Yang2017-01,Refactoring,0.71789706
60,Yang2017-01,Wikification,Falting2021-04,Wikification,0.7177638
61,Falting2021-04,Wikification,Yang2017-01,Wikification,0.7177638
62,Yang2017-01,Elaboration,Falting2021-04,Elaboration,0.7161199
63,Yang2017-01,Fact Update,Falting2021-04,Fact Update,0.7161199
64,Falting2021-04,Fact Update,Yang2017-01,Fact Update,0.7161199
65,Falting2021-04,Elaboration,Yang2017-01,Elaboration,0.7161199
66,Yang2017-01,Vandalism,Falting2021-04,Vandalism,0.7125618
67,Falting2021-04,Vandalism,Yang2017-01,Vandalism,0.7125618
68,Yang2016-08,Reference-Modification,Daxenberger2012-09,Reference-Modification,0.71084285
69,Yang2016-08,Reference-Modification,Daxenberger2013-17,Reference-Modification,0.71084285
70,Daxenberger2012-09,Reference-Modification,Yang2016-08,Reference-Modification,0.71084285
71,Daxenberger2013-17,Reference-Modification,Yang2016-08,Reference-Modification,0.71084285
72,Yang2016-08,Information-Modification,Daxenberger2012-09,Information-Modification,0.7096509
73,Yang2016-08,Template-Modification,Daxenberger2012-09,Template-Modification,0.7096509
74,Yang2016-08,Information-Modification,Daxenberger2013-17,Information-Modification,0.7096509
75,Yang2016-08,Template-Modification,Daxenberger2013-17,Template-Modification,0.7096509
76,Daxenberger2012-09,Information-Modification,Yang2016-08,Information-Modification,0.7096509
77,Daxenberger2012-09,Template-Modification,Yang2016-08,Template-Modification,0.7096509
78,Daxenberger2013-17,Information-Modification,Yang2016-08,Information-Modification,0.7096509
79,Daxenberger2013-17,Template-Modification,Yang2016-08,Template-Modification,0.7096509
80,Yang2017-01,Process,Falting2021-04,Process,0.7085912
81,Falting2021-04,Process,Yang2017-01,Process,0.7085912
82,Yang2016-08,Markup-Modification,Daxenberger2012-09,Markup-Modification,0.70711946
83,Yang2016-08,Information-Insertion,Daxenberger2012-09,Information-Insertion,0.70711946
84,Yang2016-08,Reference-Insertion,Daxenberger2012-09,Reference-Insertion,0.70711946
85,Yang2016-08,Markup-Modification,Daxenberger2013-17,Markup-Modification,0.70711946
86,Yang2016-08,Information-Insertion,Daxenberger2013-17,Information-Insertion,0.70711946
87,Yang2016-08,Reference-Insertion,Daxenberger2013-17,Reference-Insertion,0.70711946
88,Daxenberger2012-09,Markup-Modification,Yang2016-08,Markup-Modification,0.70711946
89,Daxenberger2012-09,Information-Insertion,Yang2016-08,Information-Insertion,0.70711946
90,Daxenberger2012-09,Reference-Insertion,Yang2016-08,Reference-Insertion,0.70711946
91,Daxenberger2013-17,Markup-Modification,Yang2016-08,Markup-Modification,0.70711946
92,Daxenberger2013-17,Information-Insertion,Yang2016-08,Information-Insertion,0.70711946
93,Daxenberger2013-17,Reference-Insertion,Yang2016-08,Reference-Insertion,0.70711946
94,Yang2016-08,Information-Deletion,Daxenberger2012-09,Information-Deletion,0.70577383
95,Yang2016-08,Reference-Deletion,Daxenberger2012-09,Reference-Deletion,0.70577383
96,Yang2016-08,Template-Insertion,Daxenberger2012-09,Template-Insertion,0.70577383
97,Yang2016-08,Information-Deletion,Daxenberger2013-17,Information-Deletion,0.70577383
98,Yang2016-08,Reference-Deletion,Daxenberger2013-17,Reference-Deletion,0.70577383
99,Yang2016-08,Template-Insertion,Daxenberger2013-17,Template-Insertion,0.70577383
100,Daxenberger2012-09,Information-Deletion,Yang2016-08,Information-Deletion,0.70577383
101,Daxenberger2012-09,Reference-Deletion,Yang2016-08,Reference-Deletion,0.70577383
102,Daxenberger2012-09,Template-Insertion,Yang2016-08,Template-Insertion,0.70577383
103,Daxenberger2013-17,Information-Deletion,Yang2016-08,Information-Deletion,0.70577383
104,Daxenberger2013-17,Reference-Deletion,Yang2016-08,Reference-Deletion,0.70577383
105,Daxenberger2013-17,Template-Insertion,Yang2016-08,Template-Insertion,0.70577383
106,Yang2016-08,File-Modification,Daxenberger2012-09,File-Modification,0.7043704
107,Yang2016-08,Template-Deletion,Daxenberger2012-09,Template-Deletion,0.7043704
108,Yang2016-08,File-Modification,Daxenberger2013-17,File-Modification,0.7043704
109,Yang2016-08,Template-Deletion,Daxenberger2013-17,Template-Deletion,0.7043704
