,table1,col1,table2,col2,sim_score
0,Yang2017-01,Vandalism,Daxenberger2012-09,Vandalism,1.0
1,Yang2017-01,Vandalism,Pfeil2006-12,Vandalism,1.0
2,Yang2017-01,Disambiguation,Jones2008-13,Disambiguation,1.0
3,Yang2017-01,Vandalism,Jones2008-13,Vandalism,1.0
4,Yang2017-01,Elaboration,Guo2022-16,Elaboration,1.0
5,Yang2017-01,Vandalism,Daxenberger2013-17,Vandalism,1.0
6,Anthonio2020-03,Spelling/Grammar,Daxenberger2012-09,Spelling/Grammar,1.0
7,Anthonio2020-03,Paraphrase,Daxenberger2012-09,Paraphrase,1.0
8,Anthonio2020-03,Paraphrase,Guo2022-16,Paraphrase,1.0
9,Anthonio2020-03,Spelling/Grammar,Daxenberger2013-17,Spelling/Grammar,1.0
10,Anthonio2020-03,Paraphrase,Daxenberger2013-17,Paraphrase,1.0
11,Falting2021-04,Vandalism,Daxenberger2012-09,Vandalism,1.0
12,Falting2021-04,Vandalism,Pfeil2006-12,Vandalism,1.0
13,Falting2021-04,Vandalism,Jones2008-13,Vandalism,1.0
14,Falting2021-04,Disambiguation,Jones2008-13,Disambiguation,1.0
15,Falting2021-04,Elaboration,Guo2022-16,Elaboration,1.0
16,Falting2021-04,Vandalism,Daxenberger2013-17,Vandalism,1.0
17,Zhang2015-06,Organization,Zhang2016-11,Organization,1.0
18,Zhang2015-06,Claim/Ideas,Zhang2016-11,Claim/Ideas,1.0
19,Zhang2015-06,Warrant/Reasoning/Backing,Zhang2016-11,Warrant/Reasoning/Backing,1.0
20,Zhang2015-06,General Content,Zhang2016-11,General Content,1.0
21,Zhang2015-06,Evidence,Zhang2016-11,Evidence,1.0
22,Du2022-07,Clarity,Zhang2016-11,Clarity,1.0
23,Yang2016-08,Relocation,Daxenberger2012-09,Relocation,1.0
24,Yang2016-08,Markup-Inserion,Daxenberger2012-09,Markup-Inserion,1.0
25,Yang2016-08,Markup-Deletion,Daxenberger2012-09,Markup-Deletion,1.0
26,Yang2016-08,Markup-Modification,Daxenberger2012-09,Markup-Modification,1.0
27,Yang2016-08,Rephrase,Daxenberger2012-09,Paraphrase,1.0
28,Yang2016-08,Information-Insertion,Daxenberger2012-09,Information-Insertion,1.0
29,Yang2016-08,Information-Deletion,Daxenberger2012-09,Information-Deletion,1.0
30,Yang2016-08,Information-Modification,Daxenberger2012-09,Information-Modification,1.0
31,Yang2016-08,File-Insertion,Daxenberger2012-09,File-Insertion,1.0
32,Yang2016-08,File-Deletion,Daxenberger2012-09,File-Deletion,1.0
33,Yang2016-08,File-Modification,Daxenberger2012-09,File-Modification,1.0
34,Yang2016-08,Reference-Insertion,Daxenberger2012-09,Reference-Insertion,1.0
35,Yang2016-08,Reference-Deletion,Daxenberger2012-09,Reference-Deletion,1.0
36,Yang2016-08,Reference-Modification,Daxenberger2012-09,Reference-Modification,1.0
37,Yang2016-08,Template-Insertion,Daxenberger2012-09,Template-Insertion,1.0
38,Yang2016-08,Template-Deletion,Daxenberger2012-09,Template-Deletion,1.0
39,Yang2016-08,Template-Modification,Daxenberger2012-09,Template-Modification,1.0
40,Yang2016-08,Grammar,Pfeil2006-12,Grammar,1.0
41,Yang2016-08,Rephrase,Guo2022-16,Paraphrase,1.0
42,Yang2016-08,Relocation,Daxenberger2013-17,Relocation,1.0
43,Yang2016-08,Markup-Inserion,Daxenberger2013-17,Markup-Inserion,1.0
44,Yang2016-08,Markup-Deletion,Daxenberger2013-17,Markup-Deletion,1.0
45,Yang2016-08,Markup-Modification,Daxenberger2013-17,Markup-Modification,1.0
46,Yang2016-08,Rephrase,Daxenberger2013-17,Paraphrase,1.0
47,Yang2016-08,Information-Insertion,Daxenberger2013-17,Information-Insertion,1.0
48,Yang2016-08,Information-Deletion,Daxenberger2013-17,Information-Deletion,1.0
49,Yang2016-08,Information-Modification,Daxenberger2013-17,Information-Modification,1.0
50,Yang2016-08,File-Insertion,Daxenberger2013-17,File-Insertion,1.0
51,Yang2016-08,File-Deletion,Daxenberger2013-17,File-Deletion,1.0
52,Yang2016-08,File-Modification,Daxenberger2013-17,File-Modification,1.0
53,Yang2016-08,Reference-Insertion,Daxenberger2013-17,Reference-Insertion,1.0
54,Yang2016-08,Reference-Deletion,Daxenberger2013-17,Reference-Deletion,1.0
55,Yang2016-08,Reference-Modification,Daxenberger2013-17,Reference-Modification,1.0
56,Yang2016-08,Template-Insertion,Daxenberger2013-17,Template-Insertion,1.0
57,Yang2016-08,Template-Deletion,Daxenberger2013-17,Template-Deletion,1.0
58,Yang2016-08,Template-Modification,Daxenberger2013-17,Template-Modification,1.0
59,Anthonio2020-03,Information Deletion,Daxenberger2012-09,Information-Deletion,0.9666666666666666
60,Anthonio2020-03,Information Deletion,Daxenberger2013-17,Information-Deletion,0.9666666666666666
61,Yang2016-08,Reference-Insertion,Liu2014-14,Reference insertion,0.96
62,Yang2016-08,Reference-Deletion,Liu2014-14,Reference deletion,0.96
63,Yang2016-08,Reference-Modification,Liu2014-14,Reference modification,0.96
64,Yang2017-01,Process,Guo2022-16,Citation,0.9578947368421054
65,Falting2021-04,Process,Guo2022-16,Citation,0.9578947368421054
66,Yang2017-01,Clarification,Jones2008-13,Disambiguation,0.9529411764705882
67,Falting2021-04,Clarification,Jones2008-13,Disambiguation,0.9529411764705882
68,Zhang2015-06,Organization,Rathjens1985-15,Order,0.9466666666666668
69,Du2022-07,Coherence,Rathjens1985-15,Consistency,0.9466666666666668
70,Yang2016-08,Markup-Deletion,Daxenberger2012-09,Markup-Modification,0.9428571428571428
71,Yang2016-08,Markup-Modification,Daxenberger2012-09,Markup-Deletion,0.9428571428571428
72,Yang2016-08,Information-Deletion,Daxenberger2012-09,Information-Modification,0.9428571428571428
73,Yang2016-08,Information-Modification,Daxenberger2012-09,Information-Deletion,0.9428571428571428
74,Yang2016-08,File-Deletion,Daxenberger2012-09,File-Modification,0.9428571428571428
75,Yang2016-08,File-Modification,Daxenberger2012-09,File-Deletion,0.9428571428571428
76,Yang2016-08,Reference-Deletion,Daxenberger2012-09,Reference-Modification,0.9428571428571428
77,Yang2016-08,Reference-Modification,Daxenberger2012-09,Reference-Deletion,0.9428571428571428
78,Yang2016-08,Template-Deletion,Daxenberger2012-09,Template-Modification,0.9428571428571428
79,Yang2016-08,Template-Modification,Daxenberger2012-09,Template-Deletion,0.9428571428571428
80,Yang2016-08,Markup-Deletion,Daxenberger2013-17,Markup-Modification,0.9428571428571428
81,Yang2016-08,Markup-Modification,Daxenberger2013-17,Markup-Deletion,0.9428571428571428
82,Yang2016-08,Information-Deletion,Daxenberger2013-17,Information-Modification,0.9428571428571428
83,Yang2016-08,Information-Modification,Daxenberger2013-17,Information-Deletion,0.9428571428571428
84,Yang2016-08,File-Deletion,Daxenberger2013-17,File-Modification,0.9428571428571428
85,Yang2016-08,File-Modification,Daxenberger2013-17,File-Deletion,0.9428571428571428
86,Yang2016-08,Reference-Deletion,Daxenberger2013-17,Reference-Modification,0.9428571428571428
87,Yang2016-08,Reference-Modification,Daxenberger2013-17,Reference-Deletion,0.9428571428571428
88,Yang2016-08,Template-Deletion,Daxenberger2013-17,Template-Modification,0.9428571428571428
89,Yang2016-08,Template-Modification,Daxenberger2013-17,Template-Deletion,0.9428571428571428
90,Yang2017-01,Copy Editing,Pfeil2006-12,Delete Information,0.9333333333333333
91,Yang2016-08,Information-Insertion,Daxenberger2012-09,Information-Modification,0.9294117647058824
92,Yang2016-08,Information-Modification,Daxenberger2012-09,Information-Insertion,0.9294117647058824
93,Yang2016-08,File-Insertion,Daxenberger2012-09,File-Modification,0.9294117647058824
94,Yang2016-08,File-Modification,Daxenberger2012-09,File-Insertion,0.9294117647058824
95,Yang2016-08,Reference-Insertion,Daxenberger2012-09,Reference-Modification,0.9294117647058824
96,Yang2016-08,Reference-Modification,Daxenberger2012-09,Reference-Insertion,0.9294117647058824
97,Yang2016-08,Template-Insertion,Daxenberger2012-09,Template-Modification,0.9294117647058824
98,Yang2016-08,Template-Modification,Daxenberger2012-09,Template-Insertion,0.9294117647058824
99,Yang2016-08,Information-Insertion,Daxenberger2013-17,Information-Modification,0.9294117647058824
100,Yang2016-08,Information-Modification,Daxenberger2013-17,Information-Insertion,0.9294117647058824
101,Yang2016-08,File-Insertion,Daxenberger2013-17,File-Modification,0.9294117647058824
102,Yang2016-08,File-Modification,Daxenberger2013-17,File-Insertion,0.9294117647058824
103,Yang2016-08,Reference-Insertion,Daxenberger2013-17,Reference-Modification,0.9294117647058824
104,Yang2016-08,Reference-Modification,Daxenberger2013-17,Reference-Insertion,0.9294117647058824
105,Yang2016-08,Template-Insertion,Daxenberger2013-17,Template-Modification,0.9294117647058824
106,Yang2016-08,Template-Modification,Daxenberger2013-17,Template-Insertion,0.9294117647058824
107,Yang2017-01,Vandalism,Guo2022-16,Neutralization,0.9272727272727272
108,Falting2021-04,Vandalism,Guo2022-16,Neutralization,0.9272727272727272
