,table1,col1,table2,col2,sim_score
0,Du2022-07,Clarity,Zhang2016-11,Clarity,0.33849234616992385
1,Anthonio2020-03,Paraphrase,Guo2022-16,Paraphrase,0.33013339493822547
2,Zhang2015-06,Organization,Zhang2016-11,Organization,0.2736324005088506
3,Zhang2015-06,Claim/Ideas,Zhang2016-11,Claim/Ideas,0.27363240050885057
4,Zhang2015-06,Warrant/Reasoning/Backing,Zhang2016-11,Warrant/Reasoning/Backing,0.27363240050885057
5,Zhang2015-06,General Content,Zhang2016-11,General Content,0.27363240050885057
6,Zhang2015-06,Evidence,Zhang2016-11,Evidence,0.27363240050885057
7,Spangher2022-05,Deletion,Zhang2016-11,Conventions,0.260419062708637
8,Spangher2022-05,Addition,Zhang2016-11,Organization,0.2526397518792888
9,Spangher2022-05,Addition,Zhang2016-11,Conventions,0.24174871671820142
10,Anthonio2020-03,Information Deletion,Zhang2016-11,Organization,0.23899793414668352
11,Spangher2022-05,Addition,Guo2022-16,Citation,0.23787890017322197
12,Spangher2022-05,Deletion,Guo2022-16,Citation,0.2378789001732219
13,Du2022-07,Coherence,Rathjens1985-15,Consistency,0.2375953871231448
14,Spangher2022-05,Deletion,Zhang2016-11,Organization,0.23552526805472293
15,Du2022-07,Coherence,Zhang2016-11,Evidence,0.2333573903170989
16,Du2022-07,Clarity,Rathjens1985-15,Brevity,0.2326172396341513
17,Anthonio2020-03,Paraphrase,Rathjens1985-15,Emphasis,0.23244314123203189
18,Anthonio2020-03,Spelling/Grammar,Daxenberger2012-09,Spelling/Grammar,0.23226088959342955
19,Anthonio2020-03,Paraphrase,Daxenberger2012-09,Paraphrase,0.23226088959342953
20,Anthonio2020-03,Spelling/Grammar,Daxenberger2013-17,Spelling/Grammar,0.232249670167249
21,Anthonio2020-03,Paraphrase,Daxenberger2013-17,Paraphrase,0.23224967016724898
22,Spangher2022-05,Deletion,Liu2014-14,Link deletion,0.23076114541542858
23,Du2022-07,Coherence,Rathjens1985-15,Completeness,0.23033558870169596
24,Anthonio2020-03,Information Deletion,Zhang2016-11,Conventions,0.2287153568101285
25,Spangher2022-05,Edit,Rathjens1985-15,Brevity,0.2279634194653735
26,Spangher2022-05,Addition,Guo2022-16,Concision,0.22745698687558807
27,Anthonio2020-03,Information Deletion,Liu2014-14,Reference deletion,0.22640513640143492
28,Spangher2022-05,Edit,Zhang2016-11,Clarity,0.22574556301211376
29,Spangher2022-05,Deletion,Rathjens1985-15,Objectivity,0.22525885208480684
30,Anthonio2020-03,Information Deletion,Daxenberger2012-09,Information-Deletion,0.2252240877742573
31,Anthonio2020-03,Information Deletion,Daxenberger2013-17,Information-Deletion,0.22521180088460735
32,Spangher2022-05,Deletion,Guo2022-16,Neutralization,0.2244792973619784
33,Spangher2022-05,Refactors,Zhang2016-11,Conventions,0.22307837072776585
34,Du2022-07,Fluency,Rathjens1985-15,Accuracy,0.2223498104381022
35,Spangher2022-05,Deletion,Zhang2016-11,General Content,0.2218336809950702
36,Anthonio2020-03,Information Modification/Insertion,Zhang2016-11,Organization,0.22145706692550146
37,Spangher2022-05,Addition,Jones2008-13,Add Link,0.22058893215632144
38,Spangher2022-05,Deletion,Rathjens1985-15,Brevity,0.2205258591688151
39,Spangher2022-05,Deletion,Rathjens1985-15,Completeness,0.2205258591688151
40,Spangher2022-05,Edit,Rathjens1985-15,Emphasis,0.2205258591688151
41,Du2022-07,Fluency,Zhang2016-11,Evidence,0.22021552083549575
42,Du2022-07,Clarity,Rathjens1985-15,Consistency,0.22017187091166757
43,Du2022-07,Fluency,Rathjens1985-15,Consistency,0.22017187091166754
44,Spangher2022-05,Deletion,Guo2022-16,Personalization,0.21911945623748097
45,Anthonio2020-03,Spelling/Grammar,Zhang2016-11,Claim/Ideas,0.21843277947357348
46,Anthonio2020-03,Information Deletion,Zhang2016-11,General Content,0.21843277947357348
47,Spangher2022-05,Deletion,Zhang2016-11,Clarity,0.218410784230157
48,Spangher2022-05,Edit,Zhang2016-11,Evidence,0.218410784230157
49,Anthonio2020-03,Information Deletion,Liu2014-14,Link deletion,0.21734390680119178
50,Spangher2022-05,Deletion,Pfeil2006-12,Reversion,0.215031153639319
51,Rajagopal2022-02,Fact Update,Guo2022-16,Dynamic Update,0.21384212357742183
52,Spangher2022-05,Deletion,Pfeil2006-12,Delete Link,0.21331009560104797
53,Rajagopal2022-02,Add New Information,Pfeil2006-12,Add Information,0.21326845542305528
54,Anthonio2020-03,Information Deletion,Jones2008-13,Significant Deletion,0.21301634157656363
55,Spangher2022-05,Addition,Guo2022-16,Elaboration,0.21229784026084786
56,Spangher2022-05,Deletion,Guo2022-16,Elaboration,0.21229784026084783
57,Anthonio2020-03,Paraphrase,Rathjens1985-15,Accuracy,0.211475030365602
58,Anthonio2020-03,Paraphrase,Rathjens1985-15,Order,0.211475030365602
59,Anthonio2020-03,Information Deletion,Rathjens1985-15,Completeness,0.211475030365602
60,Spangher2022-05,Addition,Guo2022-16,Neutralization,0.21107969455073478
61,Anthonio2020-03,Information Modification/Insertion,Liu2014-14,Reference modification,0.21041473122453522
62,Spangher2022-05,Edit,Rathjens1985-15,Order,0.21011327475363328
63,Anthonio2020-03,Information Modification/Insertion,Zhang2016-11,General Content,0.2093599171177897
64,Anthonio2020-03,Information Modification/Insertion,Zhang2016-11,Conventions,0.2093599171177897
65,Anthonio2020-03,Information Deletion,Guo2022-16,Emotionalism,0.20877751345551476
66,Anthonio2020-03,Information Deletion,Guo2022-16,Neutralization,0.20877751345551476
67,Anthonio2020-03,Information Deletion,Guo2022-16,Personalization,0.20877751345551476
68,Anthonio2020-03,Information Deletion,Liu2014-14,Sentence deletion,0.20828267720094862
69,Anthonio2020-03,Spelling/Grammar,Zhang2016-11,Warrant/Reasoning/Backing,0.2081502021370185
70,Anthonio2020-03,Paraphrase,Zhang2016-11,Warrant/Reasoning/Backing,0.2081502021370185
71,Anthonio2020-03,Paraphrase,Zhang2016-11,General Content,0.2081502021370185
72,Anthonio2020-03,Paraphrase,Zhang2016-11,Clarity,0.2081502021370185
73,Spangher2022-05,Refactors,Zhang2016-11,General Content,0.20814209393541744
74,Spangher2022-05,Deletion,Liu2014-14,Sentence deletion,0.208049804948828
75,Du2022-07,Coherence,Guo2022-16,Forward Reference,0.2077302392228635
76,Spangher2022-05,Deletion,Guo2022-16,Concision,0.2066131602803203
77,Spangher2022-05,Addition,Guo2022-16,Personalization,0.20661316028032028
78,Spangher2022-05,Addition,Rathjens1985-15,Consistency,0.20632688042083985
79,Spangher2022-05,Addition,Rathjens1985-15,Objectivity,0.20632688042083985
80,Spangher2022-05,Edit,Rathjens1985-15,Consistency,0.20632688042083985
81,Spangher2022-05,Edit,Rathjens1985-15,Objectivity,0.20632688042083985
82,Spangher2022-05,Refactors,Rathjens1985-15,Objectivity,0.20632688042083985
83,Spangher2022-05,Addition,Pfeil2006-12,Add Link,0.20556533442882846
84,Anthonio2020-03,Spelling/Grammar,Pfeil2006-12,Spelling,0.20550516733635601
85,Anthonio2020-03,Information Modification/Insertion,Liu2014-14,Link modification,0.20508459616556865
86,Anthonio2020-03,Information Modification/Insertion,Liu2014-14,Reference insertion,0.20508459616556865
87,Anthonio2020-03,Paraphrase,Zhang2016-11,Claim/Ideas,0.20441108310554396
88,Spangher2022-05,Deletion,Liu2014-14,Reference deletion,0.20394914625346955
89,Du2022-07,Fluency,Zhang2016-11,Clarity,0.203318831502006
90,Anthonio2020-03,Information Modification/Insertion,Zhang2016-11,Warrant/Reasoning/Backing,0.20331134221393382
91,Spangher2022-05,Addition,Liu2014-14,Link deletion,0.20318308913455643
92,Spangher2022-05,Refactors,Rathjens1985-15,Completeness,0.20317155181017874
93,Du2022-07,Clarity,Rathjens1985-15,Objectivity,0.20274835470019031
94,Spangher2022-05,Addition,Jones2008-13,Significant Addition,0.20271249364002467
95,Spangher2022-05,Deletion,Jones2008-13,Significant Deletion,0.20271249364002467
96,Rajagopal2022-02,Add Supporting Evidence,Zhang2016-11,Evidence,0.2020366271534653
97,Spangher2022-05,Edit,Zhang2016-11,Organization,0.20129630040559107
98,Spangher2022-05,Refactors,Zhang2016-11,Organization,0.20129630040559107
99,Anthonio2020-03,Paraphrase,Zhang2016-11,Organization,0.20129515057931516
